Keyword,Title,Quora_link
Machine Learning,What does support vector machine (SVM) mean in layman's terms?,https://www.quora.com/What-does-support-vector-machine-(SVM)-mean-in-layman's-terms?
Machine Learning,What is a Support Vector Machine?,https://www.quora.com/What-is-a-Support-Vector-Machine?
Machine Learning,How do support vector machines work?,https://www.quora.com/How-do-support-vector-machines-work?
Machine Learning,Has research in supporting vector machines stagnated because of deep learning?,https://www.quora.com/Has-research-in-supporting-vector-machines-stagnated-because-of-deep-learning?
Machine Learning,How does Hidden Markov support Vector Machine work?,https://www.quora.com/How-does-Hidden-Markov-support-Vector-Machine-work?
Machine Learning,What are C and gamma with regards to a support vector machine?,https://www.quora.com/What-are-C-and-gamma-with-regards-to-a-support-vector-machine?
Machine Learning,What makes deep learning more efficient than support vector machines?,https://www.quora.com/What-makes-deep-learning-more-efficient-than-support-vector-machines?
Machine Learning,Support Vector Machines : What is an intuitive explanation of hyperplane?,https://www.quora.com/Support-Vector-Machines-:-What-is-an-intuitive-explanation-of-hyperplane?
Machine Learning,Are support vector machines used in topic classification for large data?,https://www.quora.com/Are-support-vector-machines-used-in-topic-classification-for-large-data?
Machine Learning,What is the difference between Support Vector Machine and Support Vector Regression?,https://www.quora.com/What-is-the-difference-between-Support-Vector-Machine-and-Support-Vector-Regression?
Machine Learning,What are some big problems that SVMs ( Support Vector Machines ) have been used for?,https://www.quora.com/What-are-some-big-problems-that-SVMs-(-Support-Vector-Machines-)-have-been-used-for?
Machine Learning,Support Vector Machines : Why is theta perpendicular to the decision boundary?,https://www.quora.com/Support-Vector-Machines-:-Why-is-theta-perpendicular-to-the-decision-boundary?
Machine Learning,What is the best book on Support Vector Machines?,https://www.quora.com/What-is-the-best-book-on-Support-Vector-Machines?
Machine Learning,What are some good resources for learning about support vector machines (SVM)?,https://www.quora.com/What-are-some-good-resources-for-learning-about-support-vector-machines-(SVM)?
Machine Learning,How effective is support Vector Machine Algorithm?,https://www.quora.com/How-effective-is-support-Vector-Machine-Algorithm?
Machine Learning,Why has support vector machines fallen out of favor?,https://www.quora.com/Why-has-support-vector-machines-fallen-out-of-favor?
Machine Learning,What is the mathematical definition of margin in support vector machine (SVM)?,https://www.quora.com/What-is-the-mathematical-definition-of-margin-in-support-vector-machine-(SVM)?
Machine Learning,Has anyone tried to combine multilayer perceptrons with support vector machines?,https://www.quora.com/Has-anyone-tried-to-combine-multilayer-perceptrons-with-support-vector-machines?
Machine Learning,What are some pros and cons of Support Vector Machines?,https://www.quora.com/What-are-some-pros-and-cons-of-Support-Vector-Machines?
Machine Learning,Support Vector Machines : How do I choose a kernel scale parameter?,https://www.quora.com/Support-Vector-Machines-:-How-do-I-choose-a-kernel-scale-parameter?
