Keyword,Title,Quora_link
Machine Learning,What is the simple explanation of entropy as used in decision trees?,https://www.quora.com/What-is-the-simple-explanation-of-entropy-as-used-in-decision-trees?
Machine Learning,What is difference between Gini Impurity and Entropy in Decision Tree?,https://www.quora.com/What-is-difference-between-Gini-Impurity-and-Entropy-in-Decision-Tree?
Machine Learning,What is the difference between entropy and information gain?,https://www.quora.com/What-is-the-difference-between-entropy-and-information-gain?
Machine Learning,Is there any disadvantage with the entropy in decision trees?,https://www.quora.com/Is-there-any-disadvantage-with-the-entropy-in-decision-trees?
Machine Learning,Why do we negat entropy in decision trees?,https://www.quora.com/Why-do-we-negat-entropy-in-decision-trees?
Machine Learning,How do you reduce entropy in decision trees?,https://www.quora.com/How-do-you-reduce-entropy-in-decision-trees?
Machine Learning,Why do we need to calculate entropy in decision trees and how can we calculate it?,https://www.quora.com/Why-do-we-need-to-calculate-entropy-in-decision-trees-and-how-can-we-calculate-it?
Machine Learning,What is the decision tree and entropy in data mining?,https://www.quora.com/What-is-the-decision-tree-and-entropy-in-data-mining?
Machine Learning,What is Gini and entropy in a decision tree?,https://www.quora.com/What-is-Gini-and-entropy-in-a-decision-tree?
Machine Learning,Which nodes have the maximum entropy in a decision tree?,https://www.quora.com/Which-nodes-have-the-maximum-entropy-in-a-decision-tree?
Machine Learning,What other approaches are used in decision trees (ID3) besides entropy?,https://www.quora.com/What-other-approaches-are-used-in-decision-trees-(ID3)-besides-entropy?
Machine Learning,What is the concept of entropy in the context of decision trees?,https://www.quora.com/What-is-the-concept-of-entropy-in-the-context-of-decision-trees?
Machine Learning,How many splits are generated in decision tree algorithm of classification/regression?,https://www.quora.com/How-many-splits-are-generated-in-decision-tree-algorithm-of-classification/regression?
Machine Learning,"I understand that splits are created based on entropy , IG or gain, but exactly how many splits?","https://www.quora.com/I-understand-that-splits-are-created-based-on-entropy-,-IG-or-gain,-but-exactly-how-many-splits?"
Machine Learning,"Are gini index, entropy or classification error measures causing any difference on Decision Tree classification?","https://www.quora.com/Are-gini-index,-entropy-or-classification-error-measures-causing-any-difference-on-Decision-Tree-classification?"
Machine Learning,What is the difference between entropy and information gain in decision trees?,https://www.quora.com/What-is-the-difference-between-entropy-and-information-gain-in-decision-trees?
Machine Learning,How does the mathematical concept of information gain or entropy relate to the decision-making process in decision trees or neural networks?,https://www.quora.com/How-does-the-mathematical-concept-of-information-gain-or-entropy-relate-to-the-decision-making-process-in-decision-trees-or-neural-networks?
Machine Learning,I have same entropy for all attributesWhat I have to do for root node in decision tree learning?,https://www.quora.com/I-have-same-entropy-for-all-attributesWhat-I-have-to-do-for-root-node-in-decision-tree-learning?
Machine Learning,Why are we growing decision trees via entropy instead of the classification error?,https://www.quora.com/Why-are-we-growing-decision-trees-via-entropy-instead-of-the-classification-error?
Machine Learning,What is entropy and information gain in a decision tree?,https://www.quora.com/What-is-entropy-and-information-gain-in-a-decision-tree?
Machine Learning,How can I implement decision tree learning using entropy and Gini index to select the next attribute?,https://www.quora.com/How-can-I-implement-decision-tree-learning-using-entropy-and-Gini-index-to-select-the-next-attribute?
Machine Learning,How does a decision tree work by using entropy?,https://www.quora.com/How-does-a-decision-tree-work-by-using-entropy?
Machine Learning,"If all the attributes have the same entropy or information gain, then which attribute is selected in the decision tree?","https://www.quora.com/If-all-the-attributes-have-the-same-entropy-or-information-gain,-then-which-attribute-is-selected-in-the-decision-tree?"
Machine Learning,"Which is better, Entropy or Gini index in a decision tree classification?","https://www.quora.com/Which-is-better,-Entropy-or-Gini-index-in-a-decision-tree-classification?"
Machine Learning,"This is just to clarify, but when building decision trees there's no difference between lowest entropy and highest information gain right?","https://www.quora.com/This-is-just-to-clarify,-but-when-building-decision-trees-there's-no-difference-between-lowest-entropy-and-highest-information-gain-right?"
Machine Learning,"In the decision trees model, what does zero entropy mean?","https://www.quora.com/In-the-decision-trees-model,-what-does-zero-entropy-mean?"
Machine Learning,How does the mathematical concept of information gain or entropy relate to decision-making processes in decision trees or neural networks?,https://www.quora.com/How-does-the-mathematical-concept-of-information-gain-or-entropy-relate-to-decision-making-processes-in-decision-trees-or-neural-networks?
Machine Learning,Why does the decision tree prefer the choosing test which lead to allow entropy?,https://www.quora.com/Why-does-the-decision-tree-prefer-the-choosing-test-which-lead-to-allow-entropy?
Machine Learning,"Which is better, entropy , Gini index, or misclassification error in a decision tree classification?","https://www.quora.com/Which-is-better,-entropy-,-Gini-index,-or-misclassification-error-in-a-decision-tree-classification?"
Machine Learning,What importance does understanding entropy have more machine learning and decision trees?,https://www.quora.com/What-importance-does-understanding-entropy-have-more-machine-learning-and-decision-trees?
Machine Learning,How is decision tree induction using information gain and entropy?,https://www.quora.com/How-is-decision-tree-induction-using-information-gain-and-entropy?
Machine Learning,Why do we use log (base 2) in entropy equation for a decision tree?,https://www.quora.com/Why-do-we-use-log-(base-2)-in-entropy-equation-for-a-decision-tree?
Machine Learning,What is the purpose of entropy and gini index in machine learning algorithms?,https://www.quora.com/What-is-the-purpose-of-entropy-and-gini-index-in-machine-learning-algorithms?
Machine Learning,"How are they used in decision trees , random forests, and boosting?","https://www.quora.com/How-are-they-used-in-decision-trees-,-random-forests,-and-boosting?"
Machine Learning,What is the relationship of the entropy between the parent node and the child node of the decision tree?,https://www.quora.com/What-is-the-relationship-of-the-entropy-between-the-parent-node-and-the-child-node-of-the-decision-tree?
Machine Learning,"Which is best method for tuning decision trees , entropy or Gini index?","https://www.quora.com/Which-is-best-method-for-tuning-decision-trees-,-entropy-or-Gini-index?"
Machine Learning,Is there some entropy measures for decision trees penalizing high K values for multi-way splits ( in K bins) other than the gain ratio?,https://www.quora.com/Is-there-some-entropy-measures-for-decision-trees-penalizing-high-K-values-for-multi-way-splits-(-in-K-bins)-other-than-the-gain-ratio?
Machine Learning,How can the concepts of entropy and information gain in the context of decision trees in machine learning be explained in a way that can be understood by a layman?,https://www.quora.com/How-can-the-concepts-of-entropy-and-information-gain-in-the-context-of-decision-trees-in-machine-learning-be-explained-in-a-way-that-can-be-understood-by-a-layman?
Machine Learning,Does an imbalanced dataset affect the decision tree algorithm?,https://www.quora.com/Does-an-imbalanced-dataset-affect-the-decision-tree-algorithm?
Machine Learning,Why?,https://www.quora.com/Why?
Machine Learning,"Suppose we did oversampling/undersampling and balanced our dataset, then, in that case, the impurity index says entropy will be maximum(05), how will the split happen?","https://www.quora.com/Suppose-we-did-oversampling/undersampling-and-balanced-our-dataset,-then,-in-that-case,-the-impurity-index-says-entropy-will-be-maximum(05),-how-will-the-split-happen?"
Machine Learning,"In the decision trees model, what does zero entropy mean?","https://www.quora.com/In-the-decision-trees-model,-what-does-zero-entropy-mean?"
Machine Learning,"In the decision trees model, what does zero entropy mean?","https://www.quora.com/In-the-decision-trees-model,-what-does-zero-entropy-mean?"
Machine Learning,What is the difference between information gain and reduction in entropy when building decision trees?,https://www.quora.com/What-is-the-difference-between-information-gain-and-reduction-in-entropy-when-building-decision-trees?
Machine Learning,"What are Gini impurity and entropy , and which one should you use when building a decision tree?","https://www.quora.com/What-are-Gini-impurity-and-entropy-,-and-which-one-should-you-use-when-building-a-decision-tree?"
Machine Learning,How can different types of impurity criteria such as Gini index or entropy measure be used to decide which attribute should serve as the root node for a decision tree?,https://www.quora.com/How-can-different-types-of-impurity-criteria-such-as-Gini-index-or-entropy-measure-be-used-to-decide-which-attribute-should-serve-as-the-root-node-for-a-decision-tree?
